event_id,location,rivmile,station,order,method,basin,date,year,richness,rich_score,ept_rich,ept_score,hbi,hbi_score,pma,pma_score,nbi_p,nbi_p_score,shannon,shannon_score,bap,mean_bap,median_bap
37.7_gunk_13_8/27/2018_2,gunk,37.7,gunk-37.7,,kick,13,2018-08-27,2018,18,4.85,2,3.06,8.04,3.08,35,2.66,7.4,1.5,,,3.03,2.445,2.385
37.7_gunk_13_8/27/2018_3,gunk,37.7,gunk-37.7,,kick,13,2018-08-27,2018,15,3.97,1,1.25,8.5,2.5,31,1.9,7.54,1.15,,,2.15,2.445,2.385
37.7_gunk_13_8/27/2018_4,gunk,37.7,gunk-37.7,,kick,13,2018-08-27,2018,20,5.59,1,1.25,8.55,2.42,32,2.07,7.29,1.77,,,2.62,2.445,2.385
4.1_monh_13_8/27/2018_1,monh,4.1,monh-4.1,,kick,13,2018-08-27,2018,20,5.59,3,3.61,6.11,5.49,43,3.95,7.57,1.07,,,3.94,3.83,3.985
4.1_monh_13_8/27/2018_2,monh,4.1,monh-4.1,,kick,13,2018-08-27,2018,16,4.26,2,3.06,6.36,5.17,37,2.98,8.49,0,,,3.09,3.83,3.985
4.1_monh_13_8/27/2018_3,monh,4.1,monh-4.1,,kick,13,2018-08-27,2018,20,5.59,4,4.17,6.33,5.21,52,5.48,7.66,0.85,,,4.26,3.83,3.985
4.1_monh_13_8/27/2018_4,monh,4.1,monh-4.1,,kick,13,2018-08-27,2018,21,5.88,4,4.17,5.93,5.71,42,3.79,7.75,0.62,,,4.03,3.83,3.985
40.3_gunk_13_8/27/2018_1,gunk,40.3,gunk-40.3,,kick,13,2018-08-27,2018,15,3.97,4,4.17,7.12,4.22,62,7.1,6.61,3.47,,,4.59,4.545,4.52
40.3_gunk_13_8/27/2018_2,gunk,40.3,gunk-40.3,,kick,13,2018-08-27,2018,23,6.47,4,4.17,6.95,4.44,73,8.37,6.83,2.92,,,5.27,4.545,4.52
40.3_gunk_13_8/27/2018_3,gunk,40.3,gunk-40.3,,kick,13,2018-08-27,2018,10,2.31,2,3.06,6.83,4.59,53,5.65,6.5,3.75,,,3.87,4.545,4.52
40.3_gunk_13_8/27/2018_4,gunk,40.3,gunk-40.3,,kick,13,2018-08-27,2018,22,6.18,3,3.61,7.11,4.24,51,5.32,6.85,2.88,,,4.45,4.545,4.52
44.4_walk_13_9/6/2018_1,walk,44.4,walk-44.4,,kick,13,2018-09-06,2018,10,2.31,2,3.06,5.5,6.25,37,2.98,7.13,2.18,,,3.36,3.53,3.5
44.4_walk_13_9/6/2018_2,walk,44.4,walk-44.4,,kick,13,2018-09-06,2018,11,2.79,3,3.61,5.78,5.9,37,2.98,6.85,2.88,,,3.63,3.53,3.5
44.4_walk_13_9/6/2018_3,walk,44.4,walk-44.4,,kick,13,2018-09-06,2018,10,2.31,2,3.06,5.81,5.86,39,3.31,7.07,2.32,,,3.37,3.53,3.5
44.4_walk_13_9/6/2018_4,walk,44.4,walk-44.4,,kick,13,2018-09-06,2018,13,3.38,2,3.06,5.86,5.8,45,4.27,7.09,2.28,,,3.76,3.53,3.5
6.0_lgun_13_8/27/2018_1,lgun,6,lgun-6.0,,kick,13,2018-08-27,2018,12,3.09,1,1.25,7,4.38,34,2.41,7.25,1.88,,,2.6,3.0875,2.745
6.0_lgun_13_8/27/2018_2,lgun,6,lgun-6.0,,kick,13,2018-08-27,2018,17,4.56,3,3.61,6.35,5.19,55,5.97,6.3,4.25,,,4.72,3.0875,2.745
6.0_lgun_13_8/27/2018_3,lgun,6,lgun-6.0,,kick,13,2018-08-27,2018,11,2.79,0,0,6.97,4.41,32,2.07,7.43,1.43,,,2.14,3.0875,2.745
6.0_lgun_13_8/27/2018_4,lgun,6,lgun-6.0,,kick,13,2018-08-27,2018,14,3.68,1,1.25,7.56,3.68,43,3.95,7.25,1.88,,,2.89,3.0875,2.745
2.1_walk_13_8/16/2018_1,walk,2.1,walk-2.1,,mp,13,2018-08-16,2018,11,2.79,4,4.17,9.1,1.5,,,,,1.543752377,1.36,2.46,3.1,2.845
2.1_walk_13_8/16/2018_2,walk,2.1,walk-2.1,,mp,13,2018-08-16,2018,4,0,3,3.61,5.81,5.86,,,,,1.702819531,1.76,2.81,3.1,2.845
2.1_walk_13_8/16/2018_3,walk,2.1,walk-2.1,,mp,13,2018-08-16,2018,8,1.36,6,5.45,5.47,6.29,,,,,2.565756035,3.91,4.25,3.1,2.845
2.1_walk_13_8/16/2018_4,walk,2.1,walk-2.1,,mp,13,2018-08-16,2018,9,1.82,4,4.17,7.73,3.46,,,,,1.834537128,2.09,2.88,3.1,2.845
60.1_walk_13_8/16/2018_1,walk,60.1,walk-60.1,,mp,13,2018-08-16,2018,23,6.47,5,4.72,6.23,5.34,,,,,3.434684678,6.09,5.65,5.2325,5.325
60.1_walk_13_8/16/2018_2,walk,60.1,walk-60.1,,mp,13,2018-08-16,2018,18,4.85,5,4.72,5.8,5.88,,,,,3.091490578,5.23,5.17,5.2325,5.325
60.1_walk_13_8/16/2018_3,walk,60.1,walk-60.1,,mp,13,2018-08-16,2018,23,6.47,6,5.45,5.45,6.31,,,,,2.476209364,3.69,5.48,5.2325,5.325
60.1_walk_13_8/16/2018_4,walk,60.1,walk-60.1,,mp,13,2018-08-16,2018,21,5.88,4,4.17,5.34,6.45,,,,,1.808914596,2.02,4.63,5.2325,5.325
9.8_walk_13_8/16/2018_1,walk,9.8,walk-9.8,,mp,13,2018-08-16,2018,16,4.26,6,5.45,4.57,7.41,,,,,3.205093441,5.51,5.66,5.7425,5.68
9.8_walk_13_8/16/2018_2,walk,9.8,walk-9.8,,mp,13,2018-08-16,2018,18,4.85,6,5.45,4.47,7.53,,,,,2.996366383,4.99,5.7,5.7425,5.68
9.8_walk_13_8/16/2018_3,walk,9.8,walk-9.8,,mp,13,2018-08-16,2018,21,5.88,8,6.36,4.64,7.33,,,,,3.232423683,5.58,6.29,5.7425,5.68
9.8_walk_13_8/16/2018_4,walk,9.8,walk-9.8,,mp,13,2018-08-16,2018,16,4.26,5,4.72,4.71,7.24,,,,,3.023060548,5.06,5.32,5.7425,5.68
